Country,Year,Attack Type,Target Industry,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Financial Loss (in Million $),Incident Resolution Time (in Ho,Number of Affected Users,Region,Incident Cost Per User ($),Attack Velocity (Per Hour),Financial Loss Score,Resolution Speed Score,User Impact Score,Overal Severity Score,Attack Complexity Score,Vulnerability Complexity Score,Overall Complexity Score,Geopolitical Risk Score
Russia,2021,Man-in-the-Middle,Banking,Unknown,Zero-day,Antivirus,20.53,19,199673,Eastern Europe,102.82,10509,1,1,1,1,3,3,3,5
UK,2016,Man-in-the-Middle,Government,Insider,Zero-day,Firewall,61.94,19,78149,Northern Europe,792.59,4113,1,1,1,1,3,3,3,2
India,2019,Phishing,Telecommunications,Insider,Unpatched Software,AI-based Detection,55.83,20,224525,South Asia,248.66,11226,1,1,1,1,1,2,2,4
France,2015,Man-in-the-Middle,Education,Unknown,Social Engineering,Encryption,3.87,20,254,Western Europe,15236.22,13,1,1,1,1,3,1,2,2
Japan,2022,Man-in-the-Middle,Retail,Hacker Group,Social Engineering,Antivirus,37.72,20,131542,East Asia,286.75,6577,1,1,1,1,3,1,2,2
Russia,2022,Man-in-the-Middle,Banking,Unknown,Unpatched Software,VPN,56.96,20,262214,Eastern Europe,217.23,13111,1,1,2,1,3,2,3,5
Germany,2020,Phishing,Retail,Unknown,Weak Passwords,VPN,21.78,20,183581,Western Europe,118.64,9179,1,1,1,1,1,1,1,2
France,2017,SQL Injection,Education,Unknown,Zero-day,VPN,19.45,20,32690,Western Europe,594.98,1635,1,1,1,1,3,3,3,2
Germany,2022,Phishing,Banking,Unknown,Weak Passwords,Antivirus,58.64,20,291362,Western Europe,201.26,14568,1,1,2,1,1,1,1,2
Japan,2016,SQL Injection,Government,Unknown,Zero-day,Antivirus,34.73,20,35400,East Asia,981.07,1770,1,1,1,1,3,3,3,2
China,2020,SQL Injection,Healthcare,Unknown,Unpatched Software,Firewall,45.13,20,218920,East Asia,206.15,10946,1,1,1,1,3,2,3,4
China,2016,SQL Injection,Healthcare,Nation-state,Social Engineering,Antivirus,113.46,20,209622,East Asia,541.26,10481,1,1,1,1,3,1,2,4
Germany,2017,Malware,Healthcare,Hacker Group,Unpatched Software,VPN,91.02,20,210330,Western Europe,432.75,10517,1,1,1,1,2,2,2,2
Japan,2022,Phishing,Government,Unknown,Unpatched Software,Firewall,33.06,20,189572,East Asia,174.39,9479,1,1,1,1,1,2,2,2
China,2019,Malware,Retail,Insider,Social Engineering,VPN,58.05,20,246473,East Asia,235.52,12324,1,1,2,1,2,1,2,4
Japan,2017,SQL Injection,Education,Hacker Group,Social Engineering,AI-based Detection,29.56,20,45347,East Asia,651.86,2267,1,1,1,1,3,1,2,2
China,2024,SQL Injection,Banking,Unknown,Zero-day,VPN,34.81,20,306538,East Asia,113.56,15327,1,1,2,1,3,3,3,4
Brazil,2015,Malware,Retail,Hacker Group,Unpatched Software,VPN,38.47,20,71657,South America,536.86,3583,1,1,1,1,2,2,2,3
Japan,2022,SQL Injection,Government,Unknown,Social Engineering,Antivirus,18.05,20,104560,East Asia,172.63,5228,1,1,1,1,3,1,2,2
Japan,2017,Phishing,Education,Unknown,Unpatched Software,Firewall,29.15,20,105793,East Asia,275.54,5290,1,1,1,1,1,2,2,2
Australia,2017,Malware,IT,Insider,Weak Passwords,Firewall,59.43,20,160337,Oceania,370.66,8017,1,1,1,1,2,1,2,1
France,2022,Malware,IT,Unknown,Weak Passwords,Encryption,58.87,20,247006,Western Europe,238.33,12350,1,1,2,1,2,1,2,2
India,2022,Man-in-the-Middle,Banking,Unknown,Unpatched Software,AI-based Detection,19.62,20,184910,South Asia,106.11,9246,1,1,1,1,3,2,3,4
UK,2023,SQL Injection,Telecommunications,Insider,Unpatched Software,Antivirus,40.13,20,186053,Northern Europe,215.69,9303,1,1,1,1,3,2,3,2
India,2018,SQL Injection,Telecommunications,Unknown,Weak Passwords,AI-based Detection,19.1,20,94165,South Asia,202.84,4708,1,1,1,1,3,1,2,4
France,2022,SQL Injection,Healthcare,Hacker Group,Social Engineering,Encryption,47.03,20,143798,Western Europe,327.06,7190,1,1,1,1,3,1,2,2
UK,2019,Man-in-the-Middle,Healthcare,Nation-state,Weak Passwords,Encryption,77.94,20,169567,Northern Europe,459.64,8478,1,1,1,1,3,1,2,2
Brazil,2018,SQL Injection,Education,Hacker Group,Social Engineering,Encryption,24.61,20,44718,South America,550.34,2236,1,1,1,1,3,1,2,3
UK,2017,SQL Injection,Banking,Nation-state,Social Engineering,AI-based Detection,51.22,20,118032,Northern Europe,433.95,5902,1,1,1,1,3,1,2,2
Japan,2019,SQL Injection,Retail,Nation-state,Zero-day,Antivirus,36.17,20,85116,East Asia,424.95,4256,1,1,1,1,3,3,3,2
France,2021,SQL Injection,Banking,Insider,Zero-day,AI-based Detection,22.36,20,121134,Western Europe,184.59,6057,1,1,1,1,3,3,3,2
UK,2018,SQL Injection,Government,Unknown,Zero-day,Antivirus,29.99,20,77597,Northern Europe,386.48,3880,1,1,1,1,3,3,3,2
USA,2018,Malware,Education,Insider,Social Engineering,Firewall,48.08,20,236060,Northern America,203.68,11803,1,1,2,1,2,1,2,3
Brazil,2021,SQL Injection,Retail,Nation-state,Weak Passwords,Firewall,20.04,20,89963,South America,222.76,4498,1,1,1,1,3,1,2,3
UK,2024,SQL Injection,Telecommunications,Unknown,Social Engineering,VPN,12.98,20,179465,Northern Europe,72.33,8973,1,1,1,1,3,1,2,2
Russia,2018,Man-in-the-Middle,Telecommunications,Hacker Group,Unpatched Software,VPN,61.73,20,156337,Eastern Europe,394.85,7817,1,1,1,1,3,2,3,5
Russia,2015,Man-in-the-Middle,Government,Unknown,Weak Passwords,Encryption,25.49,20,25303,Eastern Europe,1007.39,1265,1,1,1,1,3,1,2,5
Russia,2022,Man-in-the-Middle,Healthcare,Insider,Social Engineering,AI-based Detection,83.22,20,279458,Eastern Europe,297.79,13973,1,1,2,1,3,1,2,5
UK,2016,Phishing,IT,Unknown,Zero-day,Firewall,38.04,20,202928,Northern Europe,187.46,10146,1,1,1,1,1,3,2,2
France,2021,Man-in-the-Middle,Healthcare,Insider,Weak Passwords,AI-based Detection,52.33,20,167472,Western Europe,312.47,8374,1,1,1,1,3,1,2,2
France,2015,Phishing,Healthcare,Unknown,Unpatched Software,VPN,63.13,20,145766,Western Europe,433.09,7288,1,1,1,1,1,2,2,2
Australia,2020,Man-in-the-Middle,Banking,Unknown,Unpatched Software,Firewall,35.07,20,116744,Oceania,300.4,5837,1,1,1,1,3,2,3,1
Japan,2024,SQL Injection,Education,Insider,Social Engineering,VPN,14.47,20,129176,East Asia,112.02,6459,1,1,1,1,3,1,2,2
Russia,2016,SQL Injection,Healthcare,Unknown,Social Engineering,VPN,27.49,20,59507,Eastern Europe,461.96,2975,1,1,1,1,3,1,2,5
India,2017,SQL Injection,IT,Unknown,Weak Passwords,Encryption,28.85,20,115538,South Asia,249.7,5777,1,1,1,1,3,1,2,4
India,2016,Man-in-the-Middle,Telecommunications,Insider,Unpatched Software,Firewall,22.34,20,71347,South Asia,313.12,3567,1,1,1,1,3,2,3,4
India,2023,SQL Injection,IT,Unknown,Unpatched Software,Encryption,24.63,20,208811,South Asia,117.95,10441,1,1,1,1,3,2,3,4
Australia,2018,SQL Injection,IT,Unknown,Zero-day,Antivirus,21.7,20,83209,Oceania,260.79,4160,1,1,1,1,3,3,3,1
Russia,2018,Malware,Telecommunications,Insider,Zero-day,Firewall,75.66,20,195870,Eastern Europe,386.28,9794,1,1,1,1,2,3,3,5
USA,2018,SQL Injection,Government,Insider,Weak Passwords,AI-based Detection,42.57,20,125721,Northern America,338.61,6286,1,1,1,1,3,1,2,3
USA,2018,Ransomware,Retail,Unknown,Weak Passwords,AI-based Detection,50.59,20,208735,Northern America,242.36,10437,1,1,1,1,2,1,2,3
Brazil,2021,Malware,Banking,Unknown,Weak Passwords,Firewall,82.37,20,234953,South America,350.58,11748,1,1,2,1,2,1,2,3
Australia,2023,Man-in-the-Middle,Healthcare,Insider,Zero-day,Firewall,56.39,20,164135,Oceania,343.56,8207,1,1,1,1,3,3,3,1
Australia,2024,Phishing,Education,Insider,Social Engineering,VPN,32.23,20,243739,Oceania,132.23,12187,1,1,2,1,1,1,1,1
Australia,2019,SQL Injection,Healthcare,Unknown,Social Engineering,VPN,49.34,20,100088,Oceania,492.97,5004,1,1,1,1,3,1,2,1
Russia,2019,Man-in-the-Middle,IT,Insider,Zero-day,VPN,52.12,20,206324,Eastern Europe,252.61,10316,1,1,1,1,3,3,3,5
India,2015,Man-in-the-Middle,Banking,Nation-state,Weak Passwords,VPN,84.76,20,127381,South Asia,665.41,6369,1,1,1,1,3,1,2,4
Australia,2022,SQL Injection,Healthcare,Nation-state,Weak Passwords,VPN,81.01,20,162695,Oceania,497.93,8135,1,1,1,1,3,1,2,1
Germany,2021,SQL Injection,Education,Nation-state,Unpatched Software,Antivirus,18.82,20,110637,Western Europe,170.11,5532,1,1,1,1,3,2,3,2
Germany,2019,SQL Injection,Government,Nation-state,Unpatched Software,Firewall,35.2,20,92181,Western Europe,381.86,4609,1,1,1,1,3,2,3,2
Australia,2021,Man-in-the-Middle,Government,Insider,Unpatched Software,Antivirus,34.82,21,98062,Oceania,355.08,4670,1,1,1,1,3,2,3,1
China,2019,SQL Injection,Government,Hacker Group,Zero-day,Encryption,43.76,21,158376,East Asia,276.3,7542,1,1,1,1,3,3,3,4
Germany,2015,SQL Injection,Government,Insider,Unpatched Software,VPN,45.26,21,36206,Western Europe,1250.07,1724,1,1,1,1,3,2,3,2
China,2021,Man-in-the-Middle,Banking,Insider,Social Engineering,VPN,66.4,21,287161,East Asia,231.23,13674,1,1,2,1,3,1,2,4
Germany,2015,DDoS,IT,Unknown,Social Engineering,AI-based Detection,58.58,21,112149,Western Europe,522.34,5340,1,1,1,1,2,1,2,2
Russia,2017,Man-in-the-Middle,IT,Nation-state,Weak Passwords,Firewall,41.02,21,151121,Eastern Europe,271.44,7196,1,1,1,1,3,1,2,5
India,2019,Malware,Banking,Insider,Weak Passwords,AI-based Detection,102.58,21,286861,South Asia,357.59,13660,1,1,2,1,2,1,2,4
India,2016,Man-in-the-Middle,Healthcare,Unknown,Zero-day,AI-based Detection,41.15,21,97345,South Asia,422.72,4635,1,1,1,1,3,3,3,4
France,2015,Phishing,Banking,Insider,Weak Passwords,Encryption,93.98,21,188110,Western Europe,499.6,8958,1,1,1,1,1,1,1,2
Japan,2022,Man-in-the-Middle,IT,Hacker Group,Unpatched Software,AI-based Detection,40.35,21,166644,East Asia,242.13,7935,1,1,1,1,3,2,3,2
USA,2021,SQL Injection,Telecommunications,Insider,Unpatched Software,Antivirus,31.87,21,194848,Northern America,163.56,9278,1,1,1,1,3,2,3,3
France,2019,Phishing,Retail,Insider,Weak Passwords,AI-based Detection,41.81,21,178270,Western Europe,234.53,8489,1,1,1,1,1,1,1,2
France,2023,SQL Injection,Banking,Unknown,Zero-day,Antivirus,16.79,21,144745,Western Europe,116,6893,1,1,1,1,3,3,3,2
Japan,2021,SQL Injection,Telecommunications,Insider,Weak Passwords,Firewall,57.92,21,135970,East Asia,425.98,6475,1,1,1,1,3,1,2,2
Russia,2019,SQL Injection,Banking,Insider,Zero-day,VPN,41.43,21,129926,Eastern Europe,318.87,6187,1,1,1,1,3,3,3,5
UK,2021,Phishing,Banking,Hacker Group,Social Engineering,Firewall,67.9,21,332076,Northern Europe,204.47,15813,1,1,2,1,1,1,1,2
France,2022,Phishing,Retail,Unknown,Weak Passwords,Antivirus,18.43,21,211927,Western Europe,86.96,10092,1,1,1,1,1,1,1,2
Australia,2017,Man-in-the-Middle,Telecommunications,Nation-state,Weak Passwords,Firewall,59.35,21,77919,Oceania,761.69,3710,1,1,1,1,3,1,2,1
UK,2020,Phishing,Healthcare,Nation-state,Social Engineering,Firewall,120.7,21,357064,Northern Europe,338.03,17003,1,1,2,1,1,1,1,2
UK,2017,Man-in-the-Middle,Telecommunications,Unknown,Unpatched Software,Firewall,22.5,21,81842,Northern Europe,274.92,3897,1,1,1,1,3,2,3,2
China,2019,Phishing,Telecommunications,Unknown,Zero-day,VPN,51.18,21,261802,East Asia,195.49,12467,1,1,2,1,1,3,2,4
Russia,2021,SQL Injection,Retail,Insider,Zero-day,AI-based Detection,30,21,123673,Eastern Europe,242.58,5889,1,1,1,1,3,3,3,5
France,2019,DDoS,IT,Unknown,Weak Passwords,Encryption,66.44,21,133027,Western Europe,499.45,6335,1,1,1,1,2,1,2,2
Russia,2016,Phishing,Government,Unknown,Zero-day,VPN,37.01,21,90857,Eastern Europe,407.34,4327,1,1,1,1,1,3,2,5
Australia,2016,Man-in-the-Middle,Government,Hacker Group,Unpatched Software,VPN,49.29,21,41319,Oceania,1192.91,1968,1,1,1,1,3,2,3,1
France,2023,Phishing,Education,Insider,Weak Passwords,Firewall,43.78,21,244485,Western Europe,179.07,11642,1,1,2,1,1,1,1,2
France,2020,Malware,Banking,Insider,Unpatched Software,Firewall,156.98,21,288757,Western Europe,543.64,13750,2,1,2,2,2,2,2,2
China,2015,Phishing,Banking,Nation-state,Zero-day,Antivirus,166.05,21,330652,East Asia,502.19,15745,2,1,2,2,1,3,2,4
Australia,2020,Malware,Education,Insider,Weak Passwords,Firewall,41.24,21,146137,Oceania,282.2,6959,1,1,1,1,2,1,2,1
UK,2021,Phishing,Healthcare,Unknown,Unpatched Software,Firewall,43.21,21,291721,Northern Europe,148.12,13891,1,1,2,1,1,2,2,2
USA,2017,Man-in-the-Middle,IT,Unknown,Unpatched Software,AI-based Detection,38.6,21,167923,Northern America,229.87,7996,1,1,1,1,3,2,3,3
Brazil,2022,Phishing,Education,Insider,Unpatched Software,Encryption,32.48,21,177511,South America,182.97,8453,1,1,1,1,1,2,2,3
UK,2017,SQL Injection,IT,Insider,Unpatched Software,Antivirus,39.73,21,119108,Northern Europe,333.56,5672,1,1,1,1,3,2,3,2
Germany,2015,Malware,Education,Insider,Social Engineering,AI-based Detection,35.81,21,86176,Western Europe,415.54,4104,1,1,1,1,2,1,2,2
India,2017,SQL Injection,Government,Insider,Social Engineering,AI-based Detection,37.91,21,75635,South Asia,501.22,3602,1,1,1,1,3,1,2,4
Germany,2018,Man-in-the-Middle,IT,Insider,Social Engineering,VPN,33.99,21,152178,Western Europe,223.36,7247,1,1,1,1,3,1,2,2
USA,2015,Phishing,Government,Insider,Unpatched Software,AI-based Detection,37.19,21,161003,Northern America,230.99,7667,1,1,1,1,1,2,2,3
Australia,2018,SQL Injection,IT,Insider,Social Engineering,Firewall,33.51,21,92257,Oceania,363.22,4393,1,1,1,1,3,1,2,1
Germany,2018,SQL Injection,Telecommunications,Insider,Weak Passwords,Encryption,12.39,21,76786,Western Europe,161.36,3656,1,1,1,1,3,1,2,2
Australia,2021,SQL Injection,Telecommunications,Insider,Unpatched Software,Antivirus,40.72,21,113479,Oceania,358.83,5404,1,1,1,1,3,2,3,1
USA,2020,Phishing,Banking,Unknown,Zero-day,AI-based Detection,60.9,21,370190,Northern America,164.51,17628,1,1,2,1,1,3,2,3
Germany,2016,Man-in-the-Middle,Banking,Insider,Weak Passwords,VPN,63.77,21,132617,Western Europe,480.86,6315,1,1,1,1,3,1,2,2
Russia,2018,DDoS,Telecommunications,Unknown,Zero-day,VPN,69.21,21,209340,Eastern Europe,330.61,9969,1,1,1,1,2,3,3,5
Australia,2015,SQL Injection,Retail,Nation-state,Unpatched Software,AI-based Detection,29.19,21,16705,Oceania,1747.38,795,1,1,1,1,3,2,3,1
Brazil,2019,SQL Injection,Government,Unknown,Weak Passwords,Encryption,24.58,21,59214,South America,415.1,2820,1,1,1,1,3,1,2,3
Germany,2022,Man-in-the-Middle,IT,Insider,Weak Passwords,AI-based Detection,41.22,21,234788,Western Europe,175.56,11180,1,1,2,1,3,1,2,2
UK,2017,Man-in-the-Middle,Telecommunications,Hacker Group,Weak Passwords,Encryption,54.11,21,108840,Northern Europe,497.15,5183,1,1,1,1,3,1,2,2
Brazil,2023,DDoS,IT,Insider,Zero-day,AI-based Detection,114,21,298056,South America,382.48,14193,1,1,2,1,2,3,3,3
Germany,2022,SQL Injection,IT,Unknown,Zero-day,AI-based Detection,19.78,21,176765,Western Europe,111.9,8417,1,1,1,1,3,3,3,2
USA,2023,SQL Injection,Education,Insider,Weak Passwords,Firewall,12.23,21,191289,Northern America,63.93,9109,1,1,1,1,3,1,2,3
Germany,2020,SQL Injection,Telecommunications,Nation-state,Social Engineering,Encryption,80.8,21,166910,Western Europe,484.09,7948,1,1,1,1,3,1,2,2
Russia,2016,SQL Injection,Government,Hacker Group,Social Engineering,Antivirus,59.84,21,58912,Eastern Europe,1015.75,2805,1,1,1,1,3,1,2,5
India,2017,Phishing,IT,Insider,Weak Passwords,AI-based Detection,53.25,21,220392,South Asia,241.61,10495,1,1,1,1,1,1,1,4
France,2021,Phishing,Education,Insider,Zero-day,VPN,22.64,21,186558,Western Europe,121.36,8884,1,1,1,1,1,3,2,2
Brazil,2016,Man-in-the-Middle,IT,Unknown,Social Engineering,AI-based Detection,27.74,21,66920,South America,414.52,3187,1,1,1,1,3,1,2,3
Japan,2017,SQL Injection,Healthcare,Unknown,Social Engineering,AI-based Detection,40.97,21,78914,East Asia,519.17,3758,1,1,1,1,3,1,2,2
USA,2021,Man-in-the-Middle,Education,Unknown,Zero-day,VPN,22.17,21,171088,Northern America,129.58,8147,1,1,1,1,3,3,3,3
China,2023,Phishing,Banking,Unknown,Weak Passwords,Firewall,101.8,21,431239,East Asia,236.06,20535,1,1,2,1,1,1,1,4
India,2023,Man-in-the-Middle,Retail,Unknown,Social Engineering,Firewall,16.56,21,170975,South Asia,96.86,8142,1,1,1,1,3,1,2,4
China,2015,SQL Injection,IT,Unknown,Zero-day,VPN,26.53,21,118692,East Asia,223.52,5652,1,1,1,1,3,3,3,4
China,2018,Malware,Banking,Insider,Zero-day,Firewall,108.22,21,322325,East Asia,335.75,15349,1,1,2,1,2,3,3,4
Australia,2021,Man-in-the-Middle,Healthcare,Unknown,Social Engineering,AI-based Detection,29.74,21,119492,Oceania,248.89,5690,1,1,1,1,3,1,2,1
USA,2024,Phishing,Education,Unknown,Weak Passwords,Encryption,32.07,21,372982,Northern America,85.98,17761,1,1,2,1,1,1,1,3
USA,2020,SQL Injection,Retail,Unknown,Unpatched Software,Encryption,13.17,21,147304,Northern America,89.41,7014,1,1,1,1,3,2,3,3
Russia,2022,Man-in-the-Middle,IT,Insider,Social Engineering,Encryption,47.94,22,267665,Eastern Europe,179.1,12167,1,1,2,1,3,1,2,5
China,2020,Man-in-the-Middle,Retail,Nation-state,Zero-day,Antivirus,24.81,22,181462,East Asia,136.72,8248,1,1,1,1,3,3,3,4
France,2024,SQL Injection,Retail,Nation-state,Zero-day,Antivirus,35.71,22,147978,Western Europe,241.32,6726,1,1,1,1,3,3,3,2
Germany,2018,SQL Injection,Banking,Insider,Unpatched Software,VPN,60.26,22,136948,Western Europe,440.02,6225,1,1,1,1,3,2,3,2
France,2016,SQL Injection,Government,Hacker Group,Weak Passwords,VPN,35.39,22,32164,Western Europe,1100.3,1462,1,1,1,1,3,1,2,2
Brazil,2016,SQL Injection,Education,Unknown,Zero-day,Encryption,11.53,22,10054,South America,1146.81,457,1,1,1,1,3,3,3,3
France,2017,SQL Injection,Healthcare,Unknown,Zero-day,VPN,39.83,22,72953,Western Europe,545.97,3316,1,1,1,1,3,3,3,2
China,2020,Malware,Government,Insider,Zero-day,AI-based Detection,76.84,22,278762,East Asia,275.65,12671,1,1,2,1,2,3,3,4
UK,2018,Man-in-the-Middle,Education,Insider,Unpatched Software,Antivirus,45.24,22,98556,Northern Europe,459.03,4480,1,1,1,1,3,2,3,2
France,2019,Man-in-the-Middle,IT,Hacker Group,Zero-day,Firewall,67.51,22,168948,Western Europe,399.59,7679,1,1,1,1,3,3,3,2
Brazil,2018,Malware,Education,Hacker Group,Weak Passwords,VPN,38.91,22,112650,South America,345.41,5120,1,1,1,1,2,1,2,3
Brazil,2022,Man-in-the-Middle,Retail,Unknown,Unpatched Software,Firewall,9.77,22,103016,South America,94.84,4683,1,1,1,1,3,2,3,3
France,2018,SQL Injection,Healthcare,Unknown,Unpatched Software,Antivirus,36.77,22,84329,Western Europe,436.03,3833,1,1,1,1,3,2,3,2
China,2021,SQL Injection,IT,Insider,Weak Passwords,Antivirus,33.31,22,255833,East Asia,130.2,11629,1,1,2,1,3,1,2,4
Japan,2022,Man-in-the-Middle,Government,Unknown,Weak Passwords,AI-based Detection,14.85,22,109302,East Asia,135.86,4968,1,1,1,1,3,1,2,2
France,2017,Phishing,Government,Unknown,Zero-day,AI-based Detection,45.26,22,133974,Western Europe,337.83,6090,1,1,1,1,1,3,2,2
Japan,2020,SQL Injection,Telecommunications,Nation-state,Social Engineering,AI-based Detection,50.77,22,118390,East Asia,428.84,5381,1,1,1,1,3,1,2,2
UK,2017,Man-in-the-Middle,Government,Unknown,Zero-day,Antivirus,24.61,22,65183,Northern Europe,377.55,2963,1,1,1,1,3,3,3,2
USA,2021,Phishing,IT,Insider,Zero-day,Antivirus,75.25,22,427974,Northern America,175.83,19453,1,1,2,1,1,3,2,3
UK,2023,Man-in-the-Middle,Banking,Insider,Social Engineering,VPN,67.47,22,236818,Northern Europe,284.9,10764,1,1,2,1,3,1,2,2
China,2021,Man-in-the-Middle,Retail,Unknown,Social Engineering,Antivirus,13.58,22,190722,East Asia,71.2,8669,1,1,1,1,3,1,2,4
Russia,2017,Man-in-the-Middle,Healthcare,Hacker Group,Unpatched Software,AI-based Detection,111.56,22,206096,Eastern Europe,541.3,9368,1,1,1,1,3,2,3,5
France,2023,Man-in-the-Middle,Telecommunications,Hacker Group,Zero-day,Antivirus,39.3,22,180880,Western Europe,217.27,8222,1,1,1,1,3,3,3,2
UK,2016,SQL Injection,Government,Unknown,Weak Passwords,Encryption,23.74,22,41930,Northern Europe,566.18,1906,1,1,1,1,3,1,2,2
Japan,2020,SQL Injection,Banking,Insider,Weak Passwords,Encryption,63.38,22,143456,East Asia,441.81,6521,1,1,1,1,3,1,2,2
China,2020,Phishing,Retail,Unknown,Social Engineering,AI-based Detection,13.78,22,229772,East Asia,59.97,10444,1,1,2,1,1,1,1,4
USA,2015,SQL Injection,Banking,Insider,Unpatched Software,Firewall,50.48,22,124172,Northern America,406.53,5644,1,1,1,1,3,2,3,3
Brazil,2022,Man-in-the-Middle,Healthcare,Unknown,Zero-day,AI-based Detection,51.41,22,148514,South America,346.16,6751,1,1,1,1,3,3,3,3
USA,2016,Malware,Retail,Unknown,Unpatched Software,VPN,16.46,22,165103,Northern America,99.7,7505,1,1,1,1,2,2,2,3
China,2024,SQL Injection,Government,Unknown,Social Engineering,Antivirus,33.89,22,256702,East Asia,132.02,11668,1,1,2,1,3,1,2,4
Australia,2023,SQL Injection,Telecommunications,Insider,Weak Passwords,VPN,34.21,22,136479,Oceania,250.66,6204,1,1,1,1,3,1,2,1
India,2024,SQL Injection,Retail,Unknown,Weak Passwords,Firewall,17.9,22,182306,South Asia,98.19,8287,1,1,1,1,3,1,2,4
Russia,2018,Malware,Telecommunications,Unknown,Unpatched Software,Antivirus,29.53,22,152598,Eastern Europe,193.51,6936,1,1,1,1,2,2,2,5
France,2017,SQL Injection,Healthcare,Nation-state,Social Engineering,AI-based Detection,153.94,22,153326,Western Europe,1004,6969,2,1,1,1,3,1,2,2
India,2022,SQL Injection,Education,Unknown,Weak Passwords,Antivirus,6.67,22,130982,South Asia,50.92,5954,1,1,1,1,3,1,2,4
France,2018,Phishing,Banking,Nation-state,Zero-day,Antivirus,79.06,22,231472,Western Europe,341.55,10521,1,1,2,1,1,3,2,2
Japan,2024,Man-in-the-Middle,Education,Insider,Unpatched Software,Firewall,38.48,22,152998,East Asia,251.51,6954,1,1,1,1,3,2,3,2
Australia,2017,Man-in-the-Middle,Telecommunications,Insider,Zero-day,Firewall,35.44,22,62120,Oceania,570.51,2824,1,1,1,1,3,3,3,1
Brazil,2024,Malware,IT,Unknown,Social Engineering,Antivirus,42.81,22,261477,South America,163.72,11885,1,1,2,1,2,1,2,3
China,2024,Phishing,Education,Insider,Zero-day,Antivirus,26.2,22,317072,East Asia,82.63,14412,1,1,2,1,1,3,2,4
Germany,2020,Phishing,Government,Insider,Zero-day,Encryption,52.19,22,205101,Western Europe,254.46,9323,1,1,1,1,1,3,2,2
Brazil,2024,Phishing,IT,Unknown,Unpatched Software,AI-based Detection,42.13,22,267374,South America,157.57,12153,1,1,2,1,1,2,2,3
Japan,2020,DDoS,Healthcare,Insider,Unpatched Software,Firewall,178.33,22,248486,East Asia,717.67,11295,2,1,2,2,2,2,2,2
Germany,2016,Man-in-the-Middle,IT,Unknown,Social Engineering,Encryption,27.41,22,109246,Western Europe,250.9,4966,1,1,1,1,3,1,2,2
UK,2023,SQL Injection,Healthcare,Nation-state,Unpatched Software,Antivirus,55.12,22,210579,Northern Europe,261.75,9572,1,1,1,1,3,2,3,2
Brazil,2024,Man-in-the-Middle,Education,Unknown,Weak Passwords,Encryption,25.23,22,132994,South America,189.71,6045,1,1,1,1,3,1,2,3
India,2015,Man-in-the-Middle,Healthcare,Unknown,Social Engineering,VPN,31.9,22,74864,South Asia,426.11,3403,1,1,1,1,3,1,2,4
Australia,2015,Man-in-the-Middle,Education,Hacker Group,Social Engineering,Encryption,38.46,22,21328,Oceania,1803.26,969,1,1,1,1,3,1,2,1
USA,2021,Phishing,Healthcare,Hacker Group,Social Engineering,Encryption,112.87,22,447066,Northern America,252.47,20321,1,1,2,1,1,1,1,3
Australia,2022,Phishing,Education,Nation-state,Weak Passwords,Antivirus,49,22,224739,Oceania,218.03,10215,1,1,1,1,1,1,1,1
Australia,2016,Malware,IT,Hacker Group,Weak Passwords,VPN,96.16,22,177514,Oceania,541.7,8069,1,1,1,1,2,1,2,1
Australia,2018,Malware,Healthcare,Unknown,Social Engineering,AI-based Detection,47.1,22,149151,Oceania,315.79,6780,1,1,1,1,2,1,2,1
Brazil,2017,SQL Injection,Banking,Unknown,Zero-day,AI-based Detection,21.14,22,63073,South America,335.17,2867,1,1,1,1,3,3,3,3
Brazil,2016,SQL Injection,Telecommunications,Nation-state,Weak Passwords,AI-based Detection,51.35,22,54709,South America,938.6,2487,1,1,1,1,3,1,2,3
UK,2023,Man-in-the-Middle,IT,Hacker Group,Weak Passwords,AI-based Detection,41.21,22,224924,Northern Europe,183.22,10224,1,1,1,1,3,1,2,2
USA,2016,SQL Injection,Education,Nation-state,Unpatched Software,Firewall,24.54,22,72860,Northern America,336.81,3312,1,1,1,1,3,2,3,3
India,2021,SQL Injection,Healthcare,Insider,Unpatched Software,VPN,88.89,22,213469,South Asia,416.41,9703,1,1,1,1,3,2,3,4
USA,2016,SQL Injection,Government,Unknown,Weak Passwords,AI-based Detection,26.49,22,74809,Northern America,354.1,3400,1,1,1,1,3,1,2,3
Germany,2023,SQL Injection,Healthcare,Hacker Group,Zero-day,Antivirus,54.08,22,203560,Western Europe,265.67,9253,1,1,1,1,3,3,3,2
UK,2015,SQL Injection,Telecommunications,Hacker Group,Zero-day,VPN,49.6,22,67513,Northern Europe,734.67,3069,1,1,1,1,3,3,3,2
UK,2024,Man-in-the-Middle,Healthcare,Insider,Social Engineering,Encryption,61.84,22,239180,Northern Europe,258.55,10872,1,1,2,1,3,1,2,2
USA,2021,Man-in-the-Middle,Telecommunications,Nation-state,Unpatched Software,Firewall,54.08,22,226255,Northern America,239.02,10284,1,1,1,1,3,2,3,3
Australia,2023,SQL Injection,Retail,Unknown,Weak Passwords,VPN,10.07,22,111913,Oceania,89.98,5087,1,1,1,1,3,1,2,1
China,2017,Phishing,Banking,Unknown,Weak Passwords,Encryption,50.34,22,245804,East Asia,204.8,11173,1,1,2,1,1,1,1,4
